City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather description,Rain inches(last 3 hrs),Snow inches(last 3 hrs)
209,Manoel Urbano,-8.84,-69.26,80.28,56,68,4.54,BR,2020-02-23 15:39:10,broken clouds,0.0,0.0
210,Lingao,19.91,109.69,68.41,87,0,15.86,CN,2020-02-23 15:39:11,clear sky,0.0,0.0
211,Hyeres,43.12,6.12,70.0,48,0,21.92,FR,2020-02-23 15:39:11,clear sky,0.0,0.0
212,Jumla,29.27,82.18,32.54,85,92,1.68,NP,2020-02-23 15:39:11,light snow,0.0,0.25
213,Los Llanos De Aridane,28.66,-17.92,78.8,29,90,6.93,ES,2020-02-23 15:39:12,haze,0.0,0.0
214,Alta Floresta,-9.88,-56.09,80.6,83,75,4.7,BR,2020-02-23 15:39:12,broken clouds,0.0,0.0
215,Qasigiannguit,68.82,-51.19,1.4,49,0,2.24,GL,2020-02-23 15:39:13,clear sky,0.0,0.0
216,Saint George,37.1,-113.58,42.8,87,1,6.58,US,2020-02-23 15:36:40,clear sky,0.0,0.0
217,Dingle,11.0,122.67,73.2,88,24,13.11,PH,2020-02-23 15:39:13,light rain,0.13,0.0
218,Tevaitoa,-16.78,-151.5,81.97,74,100,9.06,PF,2020-02-23 15:39:13,overcast clouds,0.0,0.0
219,Sinjar,36.32,41.88,55.06,69,0,2.59,IQ,2020-02-23 15:39:14,clear sky,0.0,0.0
220,Codrington,-38.27,141.97,61.45,85,98,14.18,AU,2020-02-23 15:39:14,overcast clouds,0.0,0.0
221,Talagang,32.93,72.42,62.24,44,0,3.02,PK,2020-02-23 15:39:14,clear sky,0.0,0.0
222,Evensk,61.95,159.23,-3.91,96,100,6.46,RU,2020-02-23 15:39:14,light snow,0.0,0.25
223,Turukhansk,65.82,87.98,13.37,94,100,11.54,RU,2020-02-23 15:39:14,light snow,0.0,0.69
224,Encruzilhada Do Sul,-30.54,-52.52,75.88,42,17,5.48,BR,2020-02-23 15:38:25,few clouds,0.0,0.0
225,Mahanoro,-19.9,48.8,81.48,78,67,11.65,MG,2020-02-23 15:39:15,broken clouds,0.0,0.0
226,Hokitika,-42.72,170.97,57.58,84,0,8.34,NZ,2020-02-23 15:39:15,clear sky,0.0,0.0
227,Taltal,-25.4,-70.48,66.07,73,7,6.62,CL,2020-02-23 15:39:15,clear sky,0.0,0.0
228,Palana,59.12,159.97,5.79,68,100,5.46,RU,2020-02-23 15:39:15,overcast clouds,0.0,0.0
229,Manono,-7.3,27.42,80.01,88,100,2.98,CD,2020-02-23 15:39:16,moderate rain,3.25,0.0
