City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Pavlogradka,RU,2020-02-22 18:57:13,54.2,73.56,22.96,92,95,6.71
188,Maniitsoq,GL,2020-02-22 18:57:13,65.42,-52.9,9.86,87,100,12.64
189,Rawson,AR,2020-02-22 18:50:05,-43.3,-65.1,71.51,43,0,16.49
190,Yulara,AU,2020-02-22 18:49:38,-25.24,130.99,75.2,19,0,8.05
191,Maceio,BR,2020-02-22 18:57:14,-9.67,-35.74,87.8,66,40,12.75
192,Taber,CA,2020-02-22 18:57:14,49.82,-112.15,46.4,36,40,32.21
193,Sambalpur,IN,2020-02-22 18:57:14,21.45,83.97,69.26,43,0,3.11
194,Cabo San Lucas,MX,2020-02-22 18:46:19,22.89,-109.91,84.99,50,5,6.93
195,Tigil,RU,2020-02-22 18:52:43,57.8,158.67,0.77,92,100,7.58
196,Phimai,TH,2020-02-22 18:57:15,15.22,102.49,69.98,61,0,13.13
197,Srednekolymsk,RU,2020-02-22 18:53:10,67.45,153.68,-26.25,100,97,1.97
198,Pueblo Rico,CO,2020-02-22 18:57:15,5.24,-76.04,80.6,65,40,4.7
199,Carutapera,BR,2020-02-22 18:57:15,-1.2,-46.02,79.81,81,75,3.33
200,Safaga,EG,2020-02-22 18:57:16,26.73,33.94,55.4,63,0,4.36
201,Kitami,JP,2020-02-22 18:57:16,43.8,143.89,31.8,79,41,10.07
202,Oranjemund,NA,2020-02-22 18:57:16,-28.55,16.43,65.79,79,0,20.24
203,Pingyi,CN,2020-02-22 18:57:16,35.5,117.63,37.72,35,0,5.7
204,Codrington,AU,2020-02-22 18:49:40,-38.27,141.97,60.3,76,0,9.37
205,Faanui,PF,2020-02-22 18:46:34,-16.48,-151.75,81.46,77,3,10.83
206,Half Moon Bay,US,2020-02-22 18:49:36,37.46,-122.43,66.0,55,40,10.29
207,Dongsheng,CN,2020-02-22 18:57:17,39.82,109.98,28.76,43,5,22.17
208,Menasha,US,2020-02-22 18:52:43,44.2,-88.45,39.2,55,1,11.41
209,Mangan,IN,2020-02-22 18:57:17,27.52,88.53,40.87,77,99,6.78
210,Bengkulu,ID,2020-02-22 18:49:06,-3.8,102.27,74.3,89,84,3.96
211,Ordzhonikidze,KZ,2020-02-22 18:57:18,52.44,61.74,17.08,93,65,4.47
212,Grindavik,IS,2020-02-22 18:50:19,63.84,-22.43,32.0,70,75,1.12
213,Dharchula,IN,2020-02-22 18:57:18,29.85,80.53,31.75,45,7,9.15
214,Chapais,CA,2020-02-22 18:53:24,49.78,-74.85,30.2,63,90,14.99
215,Palana,RU,2020-02-22 18:57:19,59.12,159.97,2.62,94,100,7.94
216,Nouadhibou,MR,2020-02-22 18:53:18,20.93,-17.03,66.2,77,20,23.04
217,Trairi,BR,2020-02-22 18:51:44,-3.28,-39.27,76.08,92,100,2.55
218,Orlik,RU,2020-02-22 18:57:20,52.52,99.83,8.4,96,100,3.29
219,Peterhead,GB,2020-02-22 18:57:20,57.51,-1.8,39.99,69,17,27.51
220,Xinmin,CN,2020-02-22 18:57:20,41.99,122.83,24.8,73,0,4.47
221,Nanortalik,GL,2020-02-22 18:49:49,60.14,-45.24,23.45,77,73,5.93
222,Lakatoro,VU,2020-02-22 18:57:20,-16.1,167.42,71.6,100,20,1.12
223,Hamilton,US,2020-02-22 18:50:21,39.18,-84.53,46.99,30,1,11.41
224,Begichevskiy,RU,2020-02-22 18:57:21,53.8,38.26,27.19,92,9,13.13
225,Airai,TL,2020-02-22 18:46:05,-8.93,125.41,66.97,88,53,3.56
226,Butaritari,KI,2020-02-22 18:49:50,3.07,172.79,83.35,70,99,6.51
227,Bonfim,BR,2020-02-22 18:57:21,3.08,-59.95,99.86,27,41,4.32
228,Mayya,RU,2020-02-22 18:57:22,61.73,130.28,-18.4,75,96,2.24
229,Ilulissat,GL,2020-02-22 18:52:28,69.22,-51.1,1.4,54,75,8.05
230,Comodoro Rivadavia,AR,2020-02-22 18:45:01,-45.87,-67.5,84.2,23,0,17.22
231,Inirida,CO,2020-02-22 18:57:22,3.87,-67.92,101.62,38,85,1.12
232,Kudahuvadhoo,MV,2020-02-22 18:50:19,2.67,72.89,80.78,79,98,2.91
233,Jaora,IN,2020-02-22 18:57:23,23.63,75.13,63.99,36,0,9.98
234,Esperance,AU,2020-02-22 18:45:49,-33.87,121.9,68.0,72,90,8.05
235,Portland,US,2020-02-22 18:50:02,45.52,-122.68,48.0,81,90,0.96
236,Presidencia Roque Saenz Pena,AR,2020-02-22 18:52:47,-26.79,-60.44,78.98,28,0,6.44
237,Makokou,GA,2020-02-22 18:57:23,0.57,12.86,74.17,94,100,4.34
238,Manyana,BW,2020-02-22 18:57:23,-23.4,21.72,78.85,57,95,14.79
239,Tura,IN,2020-02-22 18:57:24,25.52,90.22,69.8,40,96,4.52
240,Malinyi,TZ,2020-02-22 18:57:24,-8.93,36.13,77.29,92,100,2.53
241,Saint-Augustin,CA,2020-02-22 18:50:37,51.23,-58.65,20.05,83,100,22.84
242,Benguela,AO,2020-02-22 18:52:25,-12.58,13.41,81.5,77,99,4.38
243,Guasdualito,VE,2020-02-22 18:56:44,7.24,-70.73,93.2,41,40,4.7
244,Vung Tau,VN,2020-02-22 18:57:24,10.35,107.08,73.26,75,0,7.87
245,Marawi,PH,2020-02-22 18:52:01,8.0,124.29,72.0,88,14,7.0
246,Shingu,JP,2020-02-22 18:57:25,33.73,135.98,49.87,62,0,19.73
247,Najran,SA,2020-02-22 18:50:27,17.49,44.13,75.2,38,17,3.4
248,Guerrero Negro,MX,2020-02-22 18:49:27,27.98,-114.06,62.78,68,100,11.41
249,Langxiang,CN,2020-02-22 18:57:26,46.95,128.88,0.54,97,81,4.41
250,Kodino,RU,2020-02-22 18:57:26,63.72,39.64,33.21,85,100,18.45
251,Cascais,PT,2020-02-22 18:57:26,38.7,-9.42,68.0,59,0,9.17
252,Asau,RO,2020-02-22 18:49:59,46.43,26.4,32.0,78,49,4.7
253,Namibe,AO,2020-02-22 18:49:53,-15.2,12.15,74.52,85,90,16.71
254,Odienne,CI,2020-02-22 18:57:27,9.51,-7.57,97.52,15,30,6.53
255,Provideniya,RU,2020-02-22 18:46:15,64.38,-173.3,-19.34,93,48,3.15
256,Epe,NG,2020-02-22 18:57:27,6.58,3.98,83.3,82,18,11.5
257,Rudbar,AF,2020-02-22 18:57:27,30.15,62.6,70.77,31,9,10.16
258,Eureka,US,2020-02-22 18:47:30,40.8,-124.16,51.01,93,90,1.43
259,Merauke,ID,2020-02-22 18:57:27,-8.47,140.33,76.51,94,100,9.33
260,Hurghada,EG,2020-02-22 18:57:28,27.26,33.81,67.48,51,0,17.69
261,Port Lincoln,AU,2020-02-22 18:46:46,-34.73,135.87,64.4,78,3,9.08
262,Jacksonville,US,2020-02-22 18:53:24,30.33,-81.66,61.0,58,1,11.41
263,Brejo,BR,2020-02-22 18:57:28,-3.68,-42.75,80.89,90,77,5.1
264,Carmelo,UY,2020-02-22 18:57:28,-33.99,-58.29,75.99,52,0,6.93
